SKU,Name,Category,Схема,Brand,Niche,Seller,Balance,Balance FBS,Warehouses count,Comments,Final price,Max price,Min price,Average price,Median price,Цена с Ozon картой,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Pics Count,Has Video,First Date,Days in website,Days in stock,Days with sales,Average if in stock,Rating,FBS,Base price,Category Position,Categories Last Count,Sales Per Day Average,Turnover,Frozen stocks,Frozen stocks cost,Frozen stocks percent
1925266248,"Общегеографическая карта ДНР, 105 х 145 см, (на баннере)",Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ОТРОК - Большие настенные карты,0,100,1,0,2564,2987,2535,0,2555,2365,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1925266248/,https://cdn1.ozone.ru/s3/multimedia-1-x/7243136097.jpg,6,0,45726,13,0,0,0,0,1,3913,1969,1,0,0,0,0,0
483715158,"Настенная политическая карта России в ретро стиле в тубусе, 120х80 см, матовая ламинация, для офиса, школы, дома, ""АГТ Геоцентр""",,FBS,АГТ Геоцентр,Канцелярские товары/Бумажная продукция/Карты мира,"Издательство ""АГТ Геоцентр""",0,54,1,7,553,750,553,0,750,553,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/483715158/,https://cdn1.ozone.ru/s3/multimedia-k/6247098260.jpg,6,0,44599,1140,0,0,0,0,1,1400,0,1,0,0,0,0,0
1770354408,"Настольная карта ГеоДом ""Мир Физический"", масштаб 1:55 млн, 58х38 см",Канцелярские товары/Бумажная продукция/Карты мира,FBS,ГеоДом,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Юмаркет,0,17,1,0,514,556,514,0,526,475,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1770354408/,https://cdn1.ozone.ru/s3/multimedia-1-i/7182460062.jpg,1,0,45627,112,0,0,0,0,1,926,1270,1,0,0,0,0,0
1902266778,Мир. Физическая карта полушарий с подвесами для крепления,Канцелярские товары/Бумажная продукция/Карты мира,FBS,ГеоДом,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Kartograff,0,10,1,0,1157,2999,1137,0,1174,1070,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1902266778/,https://cdn1.ozone.ru/s3/multimedia-1-7/7394728147.jpg,5,0,45715,24,0,0,0,0,1,3229,1095,1,0,0,0,0,0
289297758,Атлас Принт Географическая карта,,FBS,Атлас Принт,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Уруру,0,14,0,0,2280,2338,2280,0,2338,2280,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/289297758/,https://cdn1.ozone.ru/s3/multimedia-r/6086192523.jpg,1,0,44393,1346,0,0,0,0,1,2963,0,0,0,0,0,0,0
1706824578,"Настенная карта Украины и новых регионов Российской Федерации,123 х 180 см (на баннере)",Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,3352,3361,3325,0,3352,3107,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706824578/,https://cdn1.ozone.ru/s3/multimedia-1-2/7040111978.jpg,5,0,45565,174,0,0,0,0,1,4280,4837,1,0,0,0,0,0
679736658,"настенная карта Саратова 120 х 210 см, (на баннере)",Канцелярские товары/Бумажная продукция/Карты мира,FBS,,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК Настенные карты,0,999,1,1,4028,4114,3977,0,4028,3720,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/679736658/,https://cdn1.ozone.ru/s3/multimedia-r/6009135783.jpg,5,0,44794,945,0,0,0,0,1,6664,1671,1,0,0,0,0,0
1776962598,Деревянная карта - пазл (с 3D). Животн.и раст.мир Беларуси,,FBS,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",БукМаркетБай,0,289,1,0,965,1050,964,0,1012,894,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1776962598/,https://cdn1.ozone.ru/s3/multimedia-1-a/7218944974.jpg,2,0,45639,100,0,0,0,0,1,1529,0,1,0,0,0,0,0
1706850078,настенная карта Нижегородской области 171 х 153 см (с подвесом),Канцелярские товары/Бумажная продукция/Карты мира,FBS,ОТРОК,Канцелярские товары/Бумажная продукция/Карты мира,ОТРОК - Большие настенные карты,0,100,1,0,4276,4295,4241,0,"4276,5",3949,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1706850078/,https://cdn1.ozone.ru/s3/multimedia-o/6225620124.jpg,6,0,45565,174,0,0,0,0,1,5485,4417,1,0,0,0,0,0
1864294368,Новая. Большая настенная карта Европы/ размер 195х 130см,,FBS,Атлас-карта,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",атлас-карта,0,30,1,0,4517,4922,4463,0,"4517,5",4165,0,0,0,0,0,0,https://www.ozon.ru/context/detail/id/1864294368/,https://cdn1.ozone.ru/s3/multimedia-1-s/7313669884.jpg,4,0,45699,40,0,0,0,0,1,5620,0,1,0,0,0,0,0
